textid	text	pair	weak	strong	label
1	the barista did not serve coffee to the early commuters.	the barista did not serve espresso to the early commuters.	espresso	coffee	entailment
2	the barista did not serve espresso to the early commuters.	the barista did not serve coffee to the early commuters.	espresso	coffee	neutral
3	the barista did not serve coffee to the early commuters.	the barista did not serve latte to the early commuters.	latte	coffee	entailment
4	the barista did not serve latte to the early commuters.	the barista did not serve coffee to the early commuters.	latte	coffee	neutral
5	the barista did not serve coffee to the early commuters.	the barista did not serve cappuccino to the early commuters.	cappuccino	coffee	entailment
6	the barista did not serve cappuccino to the early commuters.	the barista did not serve coffee to the early commuters.	cappuccino	coffee	neutral
7	the barista did not serve coffee to the early commuters.	the barista did not serve americano to the early commuters.	americano	coffee	entailment
8	the barista did not serve americano to the early commuters.	the barista did not serve coffee to the early commuters.	americano	coffee	neutral
17	that museum is not displaying art this month.	that museum is not displaying paintings this month.	paintings	art	entailment
18	that museum is not displaying paintings this month.	that museum is not displaying art this month.	paintings	art	neutral
19	that museum is not displaying art this month.	that museum is not displaying sculptures this month.	sculptures	art	entailment
20	that museum is not displaying sculptures this month.	that museum is not displaying art this month.	sculptures	art	neutral
21	that museum is not displaying art this month.	that museum is not displaying photographs this month.	photographs	art	entailment
22	that museum is not displaying photographs this month.	that museum is not displaying art this month.	photographs	art	neutral
23	that museum is not displaying art this month.	that museum is not displaying installations this month.	installations	art	entailment
24	that museum is not displaying installations this month.	that museum is not displaying art this month.	installations	art	neutral
25	the chef did not use oil in the dressing.	the chef did not use olive oil in the dressing.	olive oil	oil	entailment
26	the chef did not use olive oil in the dressing.	the chef did not use oil in the dressing.	olive oil	oil	neutral
27	the chef did not use oil in the dressing.	the chef did not use canola oil in the dressing.	canola oil	oil	entailment
28	the chef did not use canola oil in the dressing.	the chef did not use oil in the dressing.	canola oil	oil	neutral
29	the chef did not use oil in the dressing.	the chef did not use sesame oil in the dressing.	sesame oil	oil	entailment
30	the chef did not use sesame oil in the dressing.	the chef did not use oil in the dressing.	sesame oil	oil	neutral
31	the chef did not use oil in the dressing.	the chef did not use sunflower oil in the dressing.	sunflower oil	oil	entailment
32	the chef did not use sunflower oil in the dressing.	the chef did not use oil in the dressing.	sunflower oil	oil	neutral
33	our neighbors are not keeping pets in their apartment.	our neighbors are not keeping dogs in their apartment.	dogs	pets	entailment
34	our neighbors are not keeping dogs in their apartment.	our neighbors are not keeping pets in their apartment.	dogs	pets	neutral
35	our neighbors are not keeping pets in their apartment.	our neighbors are not keeping cats in their apartment.	cats	pets	entailment
36	our neighbors are not keeping cats in their apartment.	our neighbors are not keeping pets in their apartment.	cats	pets	neutral
37	our neighbors are not keeping pets in their apartment.	our neighbors are not keeping parrots in their apartment.	parrots	pets	entailment
38	our neighbors are not keeping parrots in their apartment.	our neighbors are not keeping pets in their apartment.	parrots	pets	neutral
39	our neighbors are not keeping pets in their apartment.	our neighbors are not keeping hamsters in their apartment.	hamsters	pets	entailment
40	our neighbors are not keeping hamsters in their apartment.	our neighbors are not keeping pets in their apartment.	hamsters	pets	neutral
41	the student did not read a book on the flight.	the student did not read a novel on the flight.	novel	book	entailment
42	the student did not read a novel on the flight.	the student did not read a book on the flight.	novel	book	neutral
43	the student did not read a book on the flight.	the student did not read a textbook on the flight.	textbook	book	entailment
44	the student did not read a textbook on the flight.	the student did not read a book on the flight.	textbook	book	neutral
45	the student did not read a book on the flight.	the student did not read a manual on the flight.	manual	book	entailment
46	the student did not read a manual on the flight.	the student did not read a book on the flight.	manual	book	neutral
47	the student did not read a book on the flight.	the student did not read a comic on the flight.	comic	book	entailment
