textid	text	pair	weak	strong	label
1	there is a man not wearing a hat.	there is a man not wearing a sombrero.	entailment		
2	there is a man not wearing a sombrero.	there is a man not wearing a hat.	sombrero	hat	non-entailment
3	there is a man not wearing a hat.	there is a man not wearing a beanie.	entailment		
4	there is a man not wearing a beanie.	there is a man not wearing a hat.	beanie	hat	non-entailment
5	there is a man not wearing a hat.	there is a man not wearing a fedora.	entailment		
6	there is a man not wearing a fedora.	there is a man not wearing a hat.	fedora	hat	non-entailment
7	a woman is not holding a hat.	a woman is not holding a sombrero.	entailment		
8	a woman is not holding a sombrero.	a woman is not holding a hat.	sombrero	hat	non-entailment
9	a woman is not holding a hat.	a woman is not holding a beanie.	entailment		
10	a woman is not holding a beanie.	a woman is not holding a hat.	beanie	hat	non-entailment
11	a woman is not holding a hat.	a woman is not holding a fedora.	entailment		
12	a woman is not holding a fedora.	a woman is not holding a hat.	fedora	hat	non-entailment
13	a child does not have a hat.	a child does not have a sombrero.	entailment		
14	a child does not have a sombrero.	a child does not have a hat.	sombrero	hat	non-entailment
15	a child does not have a hat.	a child does not have a beanie.	entailment		
16	a child does not have a beanie.	a child does not have a hat.	beanie	hat	non-entailment
17	a child does not have a hat.	a child does not have a fedora.	entailment		
18	a child does not have a fedora.	a child does not have a hat.	fedora	hat	non-entailment
19	a student did not bring a hat.	a student did not bring a sombrero.	entailment		
20	a student did not bring a sombrero.	a student did not bring a hat.	sombrero	hat	non-entailment
21	a student did not bring a hat.	a student did not bring a beanie.	entailment		
22	a student did not bring a beanie.	a student did not bring a hat.	beanie	hat	non-entailment
23	a student did not bring a hat.	a student did not bring a fedora.	entailment		
24	a student did not bring a fedora.	a student did not bring a hat.	fedora	hat	non-entailment
25	a worker is without a hat.	a worker is without a sombrero.	entailment		
26	a worker is without a sombrero.	a worker is without a hat.	sombrero	hat	non-entailment
27	a worker is without a hat.	a worker is without a beanie.	entailment		
28	a worker is without a beanie.	a worker is without a hat.	beanie	hat	non-entailment
29	a worker is without a hat.	a worker is without a fedora.	entailment		
30	a worker is without a fedora.	a worker is without a hat.	fedora	hat	non-entailment
31	an athlete is missing a hat.	an athlete is missing a sombrero.	entailment		
32	an athlete is missing a sombrero.	an athlete is missing a hat.	sombrero	hat	non-entailment
33	an athlete is missing a hat.	an athlete is missing a beanie.	entailment		
34	an athlete is missing a beanie.	an athlete is missing a hat.	beanie	hat	non-entailment
35	an athlete is missing a hat.	an athlete is missing a fedora.	entailment		
36	an athlete is missing a fedora.	an athlete is missing a hat.	fedora	hat	non-entailment
37	there is a man not wearing a shoe.	there is a man not wearing a sneaker.	entailment		
38	there is a man not wearing a sneaker.	there is a man not wearing a shoe.	sneaker	shoe	non-entailment
39	there is a man not wearing a shoe.	there is a man not wearing a sandal.	entailment		
40	there is a man not wearing a sandal.	there is a man not wearing a shoe.	sandal	shoe	non-entailment
41	there is a man not wearing a shoe.	there is a man not wearing a boot.	entailment		
42	there is a man not wearing a boot.	there is a man not wearing a shoe.	boot	shoe	non-entailment
43	a woman is not holding a shoe.	a woman is not holding a sneaker.	entailment		
44	a woman is not holding a sneaker.	a woman is not holding a shoe.	sneaker	shoe	non-entailment
45	a woman is not holding a shoe.	a woman is not holding a sandal.	entailment		
46	a woman is not holding a sandal.	a woman is not holding a shoe.	sandal	shoe	non-entailment
47	a woman is not holding a shoe.	a woman is not holding a boot.	entailment		
48	a woman is not holding a boot.	a woman is not holding a shoe.	boot	shoe	non-entailment
49	a child does not have a shoe.	a child does not have a sneaker.	entailment		
50	a child does not have a sneaker.	a child does not have a shoe.	sneaker	shoe	non-entailment
51	a child does not have a shoe.	a child does not have a sandal.	entailment		
52	a child does not have a sandal.	a child does not have a shoe.	sandal	shoe	non-entailment
53	a child does not have a shoe.	a child does not have a boot.	entailment		
54	a child does not have a boot.	a child does not have a shoe.	boot	shoe	non-entailment
55	a student did not bring a shoe.	a student did not bring a sneaker.	entailment		
56	a student did not bring a sneaker.	a student did not bring a shoe.	sneaker	shoe	non-entailment
57	a student did not bring a shoe.	a student did not bring a sandal.	entailment		
58	a student did not bring a sandal.	a student did not bring a shoe.	sandal	shoe	non-entailment
59	a student did not bring a shoe.	a student did not bring a boot.	entailment		
60	a student did not bring a boot.	a student did not bring a shoe.	boot	shoe	non-entailment
61	a worker is without a shoe.	a worker is without a sneaker.	entailment		
62	a worker is without a sneaker.	a worker is without a shoe.	sneaker	shoe	non-entailment
63	a worker is without a shoe.	a worker is without a sandal.	entailment		
64	a worker is without a sandal.	a worker is without a shoe.	sandal	shoe	non-entailment
65	a worker is without a shoe.	a worker is without a boot.	entailment		
66	a worker is without a boot.	a worker is without a shoe.	boot	shoe	non-entailment
67	an athlete is missing a shoe.	an athlete is missing a sneaker.	entailment		
68	an athlete is missing a sneaker.	an athlete is missing a shoe.	sneaker	shoe	non-entailment
69	an athlete is missing a shoe.	an athlete is missing a sandal.	entailment		
70	an athlete is missing a sandal.	an athlete is missing a shoe.	sandal	shoe	non-entailment
71	an athlete is missing a shoe.	an athlete is missing a boot.	entailment		
