textid	text	pair	weak	strong	label
1	A man is talking to someone in a car.	A man is talking to someone in a taxi.	car	taxi	neutral
2	A man is talking to someone in a taxi.	A man is talking to someone in a car.	car	taxi	entailment
5	A man is talking to someone in a car.	A man is talking to someone in a jeep.	car	jeep	neutral
6	A man is talking to someone in a jeep.	A man is talking to someone in a car.	car	jeep	entailment
7	A man is talking to someone in a car.	A man is talking to someone in a SUV.	car	suv	neutral
8	A man is talking to someone in a SUV.	A man is talking to someone in a car.	car	suv	entailment
11	A couple of hikers cross a bridge.	A couple of hikers cross a structure.	structure	bridge	entailment
12	A couple of hikers cross a structure.	A couple of hikers cross a bridge.	structure	bridge	neutral
13	A couple of hikers cross a bridge.	A couple of hikers cross a footbridge.	bridge	footbridge	neutral
14	A couple of hikers cross a footbridge.	A couple of hikers cross a bridge.	bridge	footbridge	entailment
15	Small child with black hair standing in car track near sunflowers.	Small child with black hair standing in car track near flowers.	flowers	sunflowers	entailment
16	Small child with black hair standing in car track near flowers.	Small child with black hair standing in car track near sunflowers.	flowers	sunflowers	neutral
17	Small child with black hair standing in car track near sunflowers.	Small child with black hair standing in car track near plants.	plants	sunflowers	entailment
18	Small child with black hair standing in car track near plants.	Small child with black hair standing in car track near sunflowers.	plants	sunflowers	neutral
19	Two dogs play with a green ball on a wooden deck.	Two dogs play with a green baseball on a wooden deck.	ball	baseball	neutral
20	Two dogs play with a green baseball on a wooden deck.	Two dogs play with a green ball on a wooden deck.	ball	baseball	entailment
21	Two dogs play with a green ball on a wooden deck.	Two dogs play with a green basketball on a wooden deck.	ball	basketball	neutral
22	Two dogs play with a green basketball on a wooden deck.	Two dogs play with a green ball on a wooden deck.	ball	basketball	entailment
23	Two dogs play with a green ball on a wooden deck.	Two dogs play with a green volleyball on a wooden deck.	ball	volleyball	neutral
24	Two dogs play with a green volleyball on a wooden deck.	Two dogs play with a green ball on a wooden deck.	ball	volleyball	entailment
25	An Asian woman cutting the stems of a green leafy vegetable at a market.	An Asian woman cutting the stems of a green leafy cabbage at a market.	vegetable	cabbage	neutral
26	An Asian woman cutting the stems of a green leafy cabbage at a market.	An Asian woman cutting the stems of a green leafy vegetable at a market.	vegetable	cabbage	entailment
33	An Asian woman cutting the stems of a green leafy vegetable at a market.	An Asian woman cutting the stems of a green leafy lettuce at a market.	vegetable	lettuce	neutral
34	An Asian woman cutting the stems of a green leafy lettuce at a market.	An Asian woman cutting the stems of a green leafy vegetable at a market.	vegetable	lettuce	entailment
35	A young man is hanging on a rope above beautiful blue water.	A young adult is hanging on a rope above beautiful blue water.	adult	man	entailment
36	A young adult is hanging on a rope above beautiful blue water.	A young man is hanging on a rope above beautiful blue water.	adult	man	neutral
37	A young man is hanging on a rope above beautiful blue water.	A young person is hanging on a rope above beautiful blue water.	person	man	entailment
38	A young person is hanging on a rope above beautiful blue water.	A young man is hanging on a rope above beautiful blue water.	person	man	neutral
39	Children play fight with swords.	Children play fight with weapons.	weapons	swords	entailment
40	Children play fight with weapons.	Children play fight with swords.	weapons	swords	neutral
41	A surfer rides the crashing waves while another follows behind.	A person rides the crashing waves while another follows behind.	person	surfer	entailment
42	A person rides the crashing waves while another follows behind.	A surfer rides the crashing waves while another follows behind.	person	surfer	neutral
43	A white woman wearing a white shirt sitting and looking at her plate of food.	A white woman wearing a white shirt sitting and looking at her plate of eggs.	food	eggs	neutral
44	A white woman wearing a white shirt sitting and looking at her plate of eggs.	A white woman wearing a white shirt sitting and looking at her plate of food.	food	eggs	entailment
49	A white woman wearing a white shirt sitting and looking at her plate of food.	A white woman wearing a white shirt sitting and looking at her plate of rice.	food	rice	neutral
50	A white woman wearing a white shirt sitting and looking at her plate of rice.	A white woman wearing a white shirt sitting and looking at her plate of food.	food	rice	entailment
51	A white woman wearing a white shirt sitting and looking at her plate of food.	A white woman wearing a white shirt sitting and looking at her plate of bread.	food	bread	neutral
52	A white woman wearing a white shirt sitting and looking at her plate of bread.	A white woman wearing a white shirt sitting and looking at her plate of food.	food	bread	entailment
53	A woman in a polka-dot shirt and black boots is walking down the street and being approached by a man in a black jacket and jeans.	An adult in a polka-dot shirt and black boots is walking down the street and being approached by a man in a black jacket and jeans.	adult	woman	entailment
54	An adult in a polka-dot shirt and black boots is walking down the street and being approached by a man in a black jacket and jeans.	A woman in a polka-dot shirt and black boots is walking down the street and being approached by a man in a black jacket and jeans.	adult	woman	neutral
55	A woman in a polka-dot shirt and black boots is walking down the street and being approached by a man in a black jacket and jeans.	An individual in a polka-dot shirt and black boots is walking down the street and being approached by a man in a black jacket and jeans.	individual	woman	entailment
56	An individual in a polka-dot shirt and black boots is walking down the street and being approached by a man in a black jacket and jeans.	A woman in a polka-dot shirt and black boots is walking down the street and being approached by a man in a black jacket and jeans.	individual	woman	neutral
57	A woman in a polka-dot shirt and black boots is walking down the street and being approached by a man in a black jacket and jeans.	A housewife in a polka-dot shirt and black boots is walking down the street and being approached by a man in a black jacket and jeans.	woman	housewife	neutral
58	A housewife in a polka-dot shirt and black boots is walking down the street and being approached by a man in a black jacket and jeans.	A woman in a polka-dot shirt and black boots is walking down the street and being approached by a man in a black jacket and jeans.	woman	housewife	entailment
59	A woman in a polka-dot shirt and black boots is walking down the street and being approached by a man in a black jacket and jeans.	A mother in a polka-dot shirt and black boots is walking down the street and being approached by a man in a black jacket and jeans.	woman	mother	neutral
60	A mother in a polka-dot shirt and black boots is walking down the street and being approached by a man in a black jacket and jeans.	A woman in a polka-dot shirt and black boots is walking down the street and being approached by a man in a black jacket and jeans.	woman	mother	entailment
65	Two young children are walking down a tree lined path.	Two young orphans are walking down a tree lined path.	children	orphans	neutral
66	Two young orphans are walking down a tree lined path.	Two young children are walking down a tree lined path.	children	orphans	entailment
67	Men work on the paint of a side of an old building.	Men work on the paint of a side of an old hotel.	building	hotel	neutral
68	Men work on the paint of a side of an old hotel.	Men work on the paint of a side of an old building.	building	hotel	entailment
69	Men work on the paint of a side of an old building.	Men work on the paint of a side of an old cinema.	building	cinema	neutral
70	Men work on the paint of a side of an old cinema.	Men work on the paint of a side of an old building.	building	cinema	entailment
73	Men work on the paint of a side of an old building.	Men work on the paint of a side of an old hospital.	building	hospital	neutral
74	Men work on the paint of a side of an old hospital.	Men work on the paint of a side of an old building.	building	hospital	entailment
79	Men work on the paint of a side of an old building.	Men work on the paint of a side of an old dormitory.	building	dormitory	neutral
80	Men work on the paint of a side of an old dormitory.	Men work on the paint of a side of an old building.	building	dormitory	entailment
81	Men work on the paint of a side of an old building.	Men work on the paint of a side of an old courthouse.	building	courthouse	neutral
82	Men work on the paint of a side of an old courthouse.	Men work on the paint of a side of an old building.	building	courthouse	entailment
83	Men work on the paint of a side of an old building.	Men work on the paint of a side of an old theater.	building	theater	neutral
84	Men work on the paint of a side of an old theater.	Men work on the paint of a side of an old building.	building	theater	entailment
85	Men work on the paint of a side of an old building.	Men work on the paint of a side of an old church.	building	church	neutral
86	Men work on the paint of a side of an old church.	Men work on the paint of a side of an old building.	building	church	entailment
89	A group of men and women are singing a song.	A group of men and women are singing a hymn.	song	hymn	neutral
90	A group of men and women are singing a hymn.	A group of men and women are singing a song.	song	hymn	entailment
91	A group of men and women are singing a song.	A group of men and women are singing an anthem.	song	anthem	neutral
92	A group of men and women are singing an anthem.	A group of men and women are singing a song.	song	anthem	entailment
97	Two dogs are running together down a with path covered in dead leaves.	Two mammals are running together down a with path covered in dead leaves.	mammals	dogs	entailment
