textid	text	pair	weak	strong	label
1	a red car idled at the intersection while pedestrians crossed.	a red sedan idled at the intersection while pedestrians crossed.	entailment		
2	a red sedan idled at the intersection while pedestrians crossed.	a red car idled at the intersection while pedestrians crossed.	sedan	car	non-entailment
3	a red car idled at the intersection while pedestrians crossed.	a red convertible idled at the intersection while pedestrians crossed.	entailment		
4	a red convertible idled at the intersection while pedestrians crossed.	a red car idled at the intersection while pedestrians crossed.	convertible	car	non-entailment
5	a red car idled at the intersection while pedestrians crossed.	a red SUV idled at the intersection while pedestrians crossed.	entailment		
6	a red SUV idled at the intersection while pedestrians crossed.	a red car idled at the intersection while pedestrians crossed.	SUV	car	non-entailment
7	a red car idled at the intersection while pedestrians crossed.	a red coupe idled at the intersection while pedestrians crossed.	entailment		
8	a red coupe idled at the intersection while pedestrians crossed.	a red car idled at the intersection while pedestrians crossed.	coupe	car	non-entailment
9	a red car idled at the intersection while pedestrians crossed.	a red hatchback idled at the intersection while pedestrians crossed.	entailment		
10	a red hatchback idled at the intersection while pedestrians crossed.	a red car idled at the intersection while pedestrians crossed.	hatchback	car	non-entailment
11	the old car in the driveway needs a new battery.	the old sedan in the driveway needs a new battery.	entailment		
12	the old sedan in the driveway needs a new battery.	the old car in the driveway needs a new battery.	sedan	car	non-entailment
13	the old car in the driveway needs a new battery.	the old convertible in the driveway needs a new battery.	entailment		
14	the old convertible in the driveway needs a new battery.	the old car in the driveway needs a new battery.	convertible	car	non-entailment
15	the old car in the driveway needs a new battery.	the old SUV in the driveway needs a new battery.	entailment		
16	the old SUV in the driveway needs a new battery.	the old car in the driveway needs a new battery.	SUV	car	non-entailment
17	the old car in the driveway needs a new battery.	the old coupe in the driveway needs a new battery.	entailment		
18	the old coupe in the driveway needs a new battery.	the old car in the driveway needs a new battery.	coupe	car	non-entailment
19	the old car in the driveway needs a new battery.	the old hatchback in the driveway needs a new battery.	entailment		
20	the old hatchback in the driveway needs a new battery.	the old car in the driveway needs a new battery.	hatchback	car	non-entailment
21	my neighbor washed his car on saturday morning.	my neighbor washed his sedan on saturday morning.	entailment		
22	my neighbor washed his sedan on saturday morning.	my neighbor washed his car on saturday morning.	sedan	car	non-entailment
23	my neighbor washed his car on saturday morning.	my neighbor washed his convertible on saturday morning.	entailment		
24	my neighbor washed his convertible on saturday morning.	my neighbor washed his car on saturday morning.	convertible	car	non-entailment
25	my neighbor washed his car on saturday morning.	my neighbor washed his SUV on saturday morning.	entailment		
26	my neighbor washed his SUV on saturday morning.	my neighbor washed his car on saturday morning.	SUV	car	non-entailment
27	my neighbor washed his car on saturday morning.	my neighbor washed his coupe on saturday morning.	entailment		
28	my neighbor washed his coupe on saturday morning.	my neighbor washed his car on saturday morning.	coupe	car	non-entailment
29	my neighbor washed his car on saturday morning.	my neighbor washed his hatchback on saturday morning.	entailment		
30	my neighbor washed his hatchback on saturday morning.	my neighbor washed his car on saturday morning.	hatchback	car	non-entailment
31	a small car pulled up in front of the bakery.	a small sedan pulled up in front of the bakery.	entailment		
32	a small sedan pulled up in front of the bakery.	a small car pulled up in front of the bakery.	sedan	car	non-entailment
33	a small car pulled up in front of the bakery.	a small convertible pulled up in front of the bakery.	entailment		
34	a small convertible pulled up in front of the bakery.	a small car pulled up in front of the bakery.	convertible	car	non-entailment
35	a small car pulled up in front of the bakery.	a small SUV pulled up in front of the bakery.	entailment		
36	a small SUV pulled up in front of the bakery.	a small car pulled up in front of the bakery.	SUV	car	non-entailment
37	a small car pulled up in front of the bakery.	a small coupe pulled up in front of the bakery.	entailment		
38	a small coupe pulled up in front of the bakery.	a small car pulled up in front of the bakery.	coupe	car	non-entailment
39	a small car pulled up in front of the bakery.	a small hatchback pulled up in front of the bakery.	entailment		
40	a small hatchback pulled up in front of the bakery.	a small car pulled up in front of the bakery.	hatchback	car	non-entailment
41	she parked the car under a shady tree.	she parked the sedan under a shady tree.	entailment		
42	she parked the sedan under a shady tree.	she parked the car under a shady tree.	sedan	car	non-entailment
43	she parked the car under a shady tree.	she parked the convertible under a shady tree.	entailment		
44	she parked the convertible under a shady tree.	she parked the car under a shady tree.	convertible	car	non-entailment
45	she parked the car under a shady tree.	she parked the SUV under a shady tree.	entailment		
46	she parked the SUV under a shady tree.	she parked the car under a shady tree.	SUV	car	non-entailment
47	she parked the car under a shady tree.	she parked the coupe under a shady tree.	entailment		
48	she parked the coupe under a shady tree.	she parked the car under a shady tree.	coupe	car	non-entailment
49	she parked the car under a shady tree.	she parked the hatchback under a shady tree.	entailment		
50	she parked the hatchback under a shady tree.	she parked the car under a shady tree.	hatchback	car	non-entailment
51	the blue car had a scratch along the passenger door.	the blue sedan had a scratch along the passenger door.	entailment		
52	the blue sedan had a scratch along the passenger door.	the blue car had a scratch along the passenger door.	sedan	car	non-entailment
53	the blue car had a scratch along the passenger door.	the blue convertible had a scratch along the passenger door.	entailment		
54	the blue convertible had a scratch along the passenger door.	the blue car had a scratch along the passenger door.	convertible	car	non-entailment
55	the blue car had a scratch along the passenger door.	the blue SUV had a scratch along the passenger door.	entailment		
56	the blue SUV had a scratch along the passenger door.	the blue car had a scratch along the passenger door.	SUV	car	non-entailment
57	the blue car had a scratch along the passenger door.	the blue coupe had a scratch along the passenger door.	entailment		
58	the blue coupe had a scratch along the passenger door.	the blue car had a scratch along the passenger door.	coupe	car	non-entailment
59	the blue car had a scratch along the passenger door.	the blue hatchback had a scratch along the passenger door.	entailment		
60	the blue hatchback had a scratch along the passenger door.	the blue car had a scratch along the passenger door.	hatchback	car	non-entailment
61	two cars collided at the icy junction near the river.	two sedans collided at the icy junction near the river.	entailment		
62	two sedans collided at the icy junction near the river.	two cars collided at the icy junction near the river.	sedan	car	non-entailment
63	two cars collided at the icy junction near the river.	two convertibles collided at the icy junction near the river.	entailment		
64	two convertibles collided at the icy junction near the river.	two cars collided at the icy junction near the river.	convertible	car	non-entailment
65	two cars collided at the icy junction near the river.	two SUVs collided at the icy junction near the river.	entailment		
66	two SUVs collided at the icy junction near the river.	two cars collided at the icy junction near the river.	SUV	car	non-entailment
67	two cars collided at the icy junction near the river.	two coupes collided at the icy junction near the river.	entailment		
68	two coupes collided at the icy junction near the river.	two cars collided at the icy junction near the river.	coupe	car	non-entailment
69	two cars collided at the icy junction near the river.	two hatchbacks collided at the icy junction near the river.	entailment		
70	two hatchbacks collided at the icy junction near the river.	two cars collided at the icy junction near the river.	hatchback	car	non-entailment
71	a car alarm went off in the middle of the night.	a sedan alarm went off in the middle of the night.	entailment		
72	a sedan alarm went off in the middle of the night.	a car alarm went off in the middle of the night.	sedan	car	non-entailment
73	a car alarm went off in the middle of the night.	a convertible alarm went off in the middle of the night.	entailment		
74	a convertible alarm went off in the middle of the night.	a car alarm went off in the middle of the night.	convertible	car	non-entailment
75	a car alarm went off in the middle of the night.	a SUV alarm went off in the middle of the night.	entailment		
76	a SUV alarm went off in the middle of the night.	a car alarm went off in the middle of the night.	SUV	car	non-entailment
77	a car alarm went off in the middle of the night.	a coupe alarm went off in the middle of the night.	entailment		
