textid	target	model	tokenizer	predicted	prob
1	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999507665634155
2	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999511241912842
3	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999513626098633
4	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999499917030334
5	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999511241912842
6	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999502301216125
7	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999511241912842
8	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999515414237976
9	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999502897262573
10	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999511241912842
11	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999500513076782
12	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999502897262573
13	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999521970748901
14	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999494552612305
15	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999511241912842
16	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999517202377319
17	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999516010284424
18	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999511241912842
19	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999502301216125
20	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999515414237976
21	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.999950647354126
22	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999521374702454
23	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999511241912842
24	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999511241912842
25	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999504685401917
26	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999508857727051
27	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999510049819946
28	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999513626098633
29	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999496340751648
30	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999502897262573
31	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999508857727051
32	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999502301216125
33	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999510049819946
34	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999504685401917
35	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999489784240723
36	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999500513076782
37	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999513030052185
38	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999507665634155
39	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999494552612305
40	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999496340751648
41	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999504685401917
42	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.999951958656311
43	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999517202377319
44	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999502897262573
45	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999508857727051
46	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999499917030334
47	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999513030052185
48	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999513030052185
49	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999499917030334
50	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999500513076782
51	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999513626098633
52	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999513626098633
53	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999498128890991
54	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.999951958656311
55	entailment	/home/nfarnsworth/NLP-Final-Project/models/sym_base	/home/nfarnsworth/NLP-Final-Project/models/sym_base	neutral	0.9999502897262573
