textid	text	pair	weak	strong	label
1	a red car idled at the intersection while pedestrians crossed.	a red sedan idled at the intersection while pedestrians crossed.	sedan	car	neutral
2	a red sedan idled at the intersection while pedestrians crossed.	a red car idled at the intersection while pedestrians crossed.	sedan	car	entailment
3	a red car idled at the intersection while pedestrians crossed.	a red convertible idled at the intersection while pedestrians crossed.	convertible	car	neutral
4	a red convertible idled at the intersection while pedestrians crossed.	a red car idled at the intersection while pedestrians crossed.	convertible	car	entailment
5	a red car idled at the intersection while pedestrians crossed.	a red SUV idled at the intersection while pedestrians crossed.	SUV	car	neutral
6	a red SUV idled at the intersection while pedestrians crossed.	a red car idled at the intersection while pedestrians crossed.	SUV	car	entailment
7	a red car idled at the intersection while pedestrians crossed.	a red coupe idled at the intersection while pedestrians crossed.	coupe	car	neutral
8	a red coupe idled at the intersection while pedestrians crossed.	a red car idled at the intersection while pedestrians crossed.	coupe	car	entailment
9	a red car idled at the intersection while pedestrians crossed.	a red hatchback idled at the intersection while pedestrians crossed.	hatchback	car	neutral
10	a red hatchback idled at the intersection while pedestrians crossed.	a red car idled at the intersection while pedestrians crossed.	hatchback	car	entailment
11	the old car in the driveway needs a new battery.	the old sedan in the driveway needs a new battery.	sedan	car	neutral
12	the old sedan in the driveway needs a new battery.	the old car in the driveway needs a new battery.	sedan	car	entailment
13	the old car in the driveway needs a new battery.	the old convertible in the driveway needs a new battery.	convertible	car	neutral
14	the old convertible in the driveway needs a new battery.	the old car in the driveway needs a new battery.	convertible	car	entailment
15	the old car in the driveway needs a new battery.	the old SUV in the driveway needs a new battery.	SUV	car	neutral
16	the old SUV in the driveway needs a new battery.	the old car in the driveway needs a new battery.	SUV	car	entailment
17	the old car in the driveway needs a new battery.	the old coupe in the driveway needs a new battery.	coupe	car	neutral
18	the old coupe in the driveway needs a new battery.	the old car in the driveway needs a new battery.	coupe	car	entailment
19	the old car in the driveway needs a new battery.	the old hatchback in the driveway needs a new battery.	hatchback	car	neutral
20	the old hatchback in the driveway needs a new battery.	the old car in the driveway needs a new battery.	hatchback	car	entailment
21	my neighbor washed his car on saturday morning.	my neighbor washed his sedan on saturday morning.	sedan	car	neutral
22	my neighbor washed his sedan on saturday morning.	my neighbor washed his car on saturday morning.	sedan	car	entailment
23	my neighbor washed his car on saturday morning.	my neighbor washed his convertible on saturday morning.	convertible	car	neutral
24	my neighbor washed his convertible on saturday morning.	my neighbor washed his car on saturday morning.	convertible	car	entailment
25	my neighbor washed his car on saturday morning.	my neighbor washed his SUV on saturday morning.	SUV	car	neutral
26	my neighbor washed his SUV on saturday morning.	my neighbor washed his car on saturday morning.	SUV	car	entailment
27	my neighbor washed his car on saturday morning.	my neighbor washed his coupe on saturday morning.	coupe	car	neutral
28	my neighbor washed his coupe on saturday morning.	my neighbor washed his car on saturday morning.	coupe	car	entailment
29	my neighbor washed his car on saturday morning.	my neighbor washed his hatchback on saturday morning.	hatchback	car	neutral
30	my neighbor washed his hatchback on saturday morning.	my neighbor washed his car on saturday morning.	hatchback	car	entailment
31	a small car pulled up in front of the bakery.	a small sedan pulled up in front of the bakery.	sedan	car	neutral
32	a small sedan pulled up in front of the bakery.	a small car pulled up in front of the bakery.	sedan	car	entailment
33	a small car pulled up in front of the bakery.	a small convertible pulled up in front of the bakery.	convertible	car	neutral
34	a small convertible pulled up in front of the bakery.	a small car pulled up in front of the bakery.	convertible	car	entailment
35	a small car pulled up in front of the bakery.	a small SUV pulled up in front of the bakery.	SUV	car	neutral
36	a small SUV pulled up in front of the bakery.	a small car pulled up in front of the bakery.	SUV	car	entailment
37	a small car pulled up in front of the bakery.	a small coupe pulled up in front of the bakery.	coupe	car	neutral
38	a small coupe pulled up in front of the bakery.	a small car pulled up in front of the bakery.	coupe	car	entailment
39	a small car pulled up in front of the bakery.	a small hatchback pulled up in front of the bakery.	hatchback	car	neutral
40	a small hatchback pulled up in front of the bakery.	a small car pulled up in front of the bakery.	hatchback	car	entailment
41	she parked the car under a shady tree.	she parked the sedan under a shady tree.	sedan	car	neutral
42	she parked the sedan under a shady tree.	she parked the car under a shady tree.	sedan	car	entailment
43	she parked the car under a shady tree.	she parked the convertible under a shady tree.	convertible	car	neutral
44	she parked the convertible under a shady tree.	she parked the car under a shady tree.	convertible	car	entailment
45	she parked the car under a shady tree.	she parked the SUV under a shady tree.	SUV	car	neutral
46	she parked the SUV under a shady tree.	she parked the car under a shady tree.	SUV	car	entailment
47	she parked the car under a shady tree.	she parked the coupe under a shady tree.	coupe	car	neutral
