textid	text	pair	relation	symmetry	label
221945	ashley george hamilton is a sibling of kim stewart	kim stewart is a sibling of ashley george hamilton	is a sibling of	symmetric	entailment
53066	hathloul bin abdulaziz al saud is a sibling of prince nawwaf bin abdul-aziz	prince nawwaf bin abdul-aziz is a sibling of hathloul bin abdulaziz al saud	is a sibling of	symmetric	entailment
27348	john iii of the palatinate is a sibling of henry of the palatinate (bishop)	henry of the palatinate (bishop) is a sibling of john iii of the palatinate	is a sibling of	symmetric	entailment
35362	bonnie campbell (politician) is different from bonnie k. campbell	bonnie k. campbell is different from bonnie campbell (politician)	is different from	symmetric	entailment
190037	beno possibly the same as bennett (name)	bennett (name) possibly the same as beno	possibly the same as	symmetric	entailment
273514	xaime is a sibling of mario hernandez (comics)	mario hernandez (comics) is a sibling of xaime	is a sibling of	symmetric	entailment
74866	john dirks is different from john dirks (cartoonist)	john dirks (cartoonist) is different from john dirks	is different from	symmetric	entailment
106901	mstislav of tmutarakan is a sibling of jarizleifr i the wise	jarizleifr i the wise is a sibling of mstislav of tmutarakan	is a sibling of	symmetric	entailment
58460	antinoos is different from antinous son of eupeithes	antinous son of eupeithes is different from antinoos	is different from	symmetric	entailment
116392	catherine, princess of bosnia is a sibling of ishak bey kraloğlu	ishak bey kraloğlu is a sibling of catherine, princess of bosnia	is a sibling of	symmetric	entailment
120701	desmond guinness is a sibling of jonathan guinness, 3rd baron moyne	jonathan guinness, 3rd baron moyne is a sibling of desmond guinness	is a sibling of	symmetric	entailment
281352	gilbert marshal, 4th earl of pembroke is a sibling of richard marshal, 3rd earl of pembroke	richard marshal, 3rd earl of pembroke is a sibling of gilbert marshal, 4th earl of pembroke	is a sibling of	symmetric	entailment
305905	alice arlen is a sibling of joseph medill patterson albright	joseph medill patterson albright is a sibling of alice arlen	is a sibling of	symmetric	entailment
91663	faisal bin abdul-aziz al saud is a sibling of crown prince nayef bin abdul-aziz al saud	crown prince nayef bin abdul-aziz al saud is a sibling of faisal bin abdul-aziz al saud	is a sibling of	symmetric	entailment
93087	josé marmol is different from josé mármol, buenos aires	josé mármol, buenos aires is different from josé marmol	is different from	symmetric	entailment
