textid	text	pair	weak	strong	label
1	There is a man not wearing a hat staring at people on a subway.	There is a man not wearing a sunhat staring at people on a subway.	sunhat	hat	entailment
2	There is a man not wearing a sunhat staring at people on a subway.	There is a man not wearing a hat staring at people on a subway.	sunhat	hat	neutral
3	There is a man not wearing a hat staring at people on a subway.	There is a man not wearing a sombrero staring at people on a subway.	sombrero	hat	entailment
4	There is a man not wearing a sombrero staring at people on a subway.	There is a man not wearing a hat staring at people on a subway.	sombrero	hat	neutral
5	There is a man not wearing a hat staring at people on a subway.	There is a man not wearing a fedora staring at people on a subway.	fedora	hat	entailment
6	There is a man not wearing a fedora staring at people on a subway.	There is a man not wearing a hat staring at people on a subway.	fedora	hat	neutral
9	A man, not wearing a shirt, is sitting on a rock	A man, not wearing a work-shirt, is sitting on a rock	work-shirt	shirt	entailment
10	A man, not wearing a work-shirt, is sitting on a rock	A man, not wearing a shirt, is sitting on a rock	work-shirt	shirt	neutral
11	A man, not wearing a shirt, is sitting on a rock	A man, not wearing a T-shirt, is sitting on a rock	t-shirt	shirt	entailment
12	A man, not wearing a T-shirt, is sitting on a rock	A man, not wearing a shirt, is sitting on a rock	t-shirt	shirt	neutral
13	A boy not wearing a shirt is walking holding a tree branch near the park.	A boy not wearing a work-shirt is walking holding a tree branch near the park.	work-shirt	shirt	entailment
14	A boy not wearing a work-shirt is walking holding a tree branch near the park.	A boy not wearing a shirt is walking holding a tree branch near the park.	work-shirt	shirt	neutral
15	A boy not wearing a shirt is walking holding a tree branch near the park.	A boy not wearing a T-shirt is walking holding a tree branch near the park.	t-shirt	shirt	entailment
16	A boy not wearing a T-shirt is walking holding a tree branch near the park.	A boy not wearing a shirt is walking holding a tree branch near the park.	t-shirt	shirt	neutral
17	The three children are not holding plants.	The three children are not holding daisies.	daisies	plants	entailment
18	The three children are not holding daisies.	The three children are not holding plants.	daisies	plants	neutral
19	The three children are not holding plants.	The three children are not holding herbs.	herbs	plants	entailment
20	The three children are not holding herbs.	The three children are not holding plants.	herbs	plants	neutral
21	The three children are not holding plants.	The three children are not holding lilies.	lilies	plants	entailment
22	The three children are not holding lilies.	The three children are not holding plants.	lilies	plants	neutral
23	The three children are not holding plants.	The three children are not holding flowers.	flowers	plants	entailment
