textid	target	model	tokenizer	predicted	prob
3	neutral	JeremiahZ/bert-base-uncased-mnli	JeremiahZ/bert-base-uncased-mnli	neutral	0.8584911823272705
4	entailment	JeremiahZ/bert-base-uncased-mnli	JeremiahZ/bert-base-uncased-mnli	entailment	0.9658043384552002
29	neutral	JeremiahZ/bert-base-uncased-mnli	JeremiahZ/bert-base-uncased-mnli	entailment	0.9771353006362915
30	entailment	JeremiahZ/bert-base-uncased-mnli	JeremiahZ/bert-base-uncased-mnli	entailment	0.9629995226860046
31	neutral	JeremiahZ/bert-base-uncased-mnli	JeremiahZ/bert-base-uncased-mnli	entailment	0.7078421711921692
32	entailment	JeremiahZ/bert-base-uncased-mnli	JeremiahZ/bert-base-uncased-mnli	entailment	0.9508817791938782
45	neutral	JeremiahZ/bert-base-uncased-mnli	JeremiahZ/bert-base-uncased-mnli	neutral	0.9938698410987854
46	entailment	JeremiahZ/bert-base-uncased-mnli	JeremiahZ/bert-base-uncased-mnli	entailment	0.9891101121902466
47	neutral	JeremiahZ/bert-base-uncased-mnli	JeremiahZ/bert-base-uncased-mnli	neutral	0.9947407245635986
48	entailment	JeremiahZ/bert-base-uncased-mnli	JeremiahZ/bert-base-uncased-mnli	entailment	0.9854921698570251
75	neutral	JeremiahZ/bert-base-uncased-mnli	JeremiahZ/bert-base-uncased-mnli	neutral	0.787522554397583
76	entailment	JeremiahZ/bert-base-uncased-mnli	JeremiahZ/bert-base-uncased-mnli	entailment	0.9558702111244202
87	neutral	JeremiahZ/bert-base-uncased-mnli	JeremiahZ/bert-base-uncased-mnli	neutral	0.9658839106559753
88	entailment	JeremiahZ/bert-base-uncased-mnli	JeremiahZ/bert-base-uncased-mnli	entailment	0.9750868678092957
111	neutral	JeremiahZ/bert-base-uncased-mnli	JeremiahZ/bert-base-uncased-mnli	neutral	0.9308031797409058
112	entailment	JeremiahZ/bert-base-uncased-mnli	JeremiahZ/bert-base-uncased-mnli	entailment	0.7889254689216614
